jacoco,Covered,Missed
2022-08-01T05:21,22.0,22.0
2022-08-01T05:55,22.0,22.0
2022-08-01T23:29,22.0,22.0
2022-08-01T23:47,22.0,22.0
2022-08-02T02:06,24.0,20.0
2022-08-02T23:49,24.0,20.0
2022-08-03T00:39,24.0,20.0
2022-08-03T01:51,24.0,20.0
2022-08-03T20:22,24.0,20.0
2022-08-03T23:15,8.0,26.0
2022-08-04T00:05,8.0,26.0
2022-08-04T00:32,8.0,26.0
2022-08-04T01:43,8.0,26.0
2022-08-04T02:02,8.0,26.0
2022-08-04T02:21,8.0,26.0
2022-08-04T16:45,8.0,26.0
2022-08-04T17:01,8.0,26.0
2022-08-04T17:02,8.0,26.0
2022-08-04T18:52,8.0,26.0
2022-08-04T19:43,8.0,28.0
2022-08-04T22:04,8.0,28.0
2022-08-04T22:30,8.0,28.0
2022-08-04T22:46,8.0,28.0
2022-08-04T23:08,8.0,28.0
2022-08-04T23:28,8.0,30.0
2022-08-04T23:37,6.0,28.0
2022-08-04T23:43,6.0,28.0
2022-08-04T23:48,6.0,28.0
